App,Tag,FilePath,RelativeFilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\callbacks\AbstractDatabaseTests.java,dataset/projects/junit5/documentation/src/test/java/example/callbacks/AbstractDatabaseTests.java,AbstractDatabaseTests.java,AbstractDatabaseTests,createDatabase,1,0,void,static,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\callbacks\AbstractDatabaseTests.java,dataset/projects/junit5/documentation/src/test/java/example/callbacks/AbstractDatabaseTests.java,AbstractDatabaseTests.java,AbstractDatabaseTests,connectToDatabase,1,0,void,,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\callbacks\AbstractDatabaseTests.java,dataset/projects/junit5/documentation/src/test/java/example/callbacks/AbstractDatabaseTests.java,AbstractDatabaseTests.java,AbstractDatabaseTests,disconnectFromDatabase,1,0,void,,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\callbacks\AbstractDatabaseTests.java,dataset/projects/junit5/documentation/src/test/java/example/callbacks/AbstractDatabaseTests.java,AbstractDatabaseTests.java,AbstractDatabaseTests,destroyDatabase,1,0,void,static,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\defaultmethods\StringTests.java,dataset/projects/junit5/documentation/src/test/java/example/defaultmethods/StringTests.java,StringTests.java,StringTests,createValue,1,0,String,public,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\defaultmethods\StringTests.java,dataset/projects/junit5/documentation/src/test/java/example/defaultmethods/StringTests.java,StringTests.java,StringTests,createSmallerValue,1,0,String,public,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\defaultmethods\StringTests.java,dataset/projects/junit5/documentation/src/test/java/example/defaultmethods/StringTests.java,StringTests.java,StringTests,createNotEqualValue,1,0,String,public,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\defaultmethods\Testable.java,dataset/projects/junit5/documentation/src/test/java/example/defaultmethods/Testable.java,Testable.java,Testable,createValue,0,0,T,,false,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\exception\IgnoreIOExceptionTests.java,dataset/projects/junit5/documentation/src/test/java/example/exception/IgnoreIOExceptionTests.java,IgnoreIOExceptionTests.java,IgnoreIOExceptionTests,shouldSucceed,1,0,void,,true,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\exception\IgnoreIOExceptionTests.java,dataset/projects/junit5/documentation/src/test/java/example/exception/IgnoreIOExceptionTests.java,IgnoreIOExceptionTests.java,IgnoreIOExceptionTests,shouldFail,1,0,void,,true,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\JUnit4Tests.java,dataset/projects/junit5/documentation/src/test/java/example/JUnit4Tests.java,JUnit4Tests.java,JUnit4Tests,standardJUnit4Test,0,0,void,public,true,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\MyFirstJUnitJupiterTests.java,dataset/projects/junit5/documentation/src/test/java/example/MyFirstJUnitJupiterTests.java,MyFirstJUnitJupiterTests.java,MyFirstJUnitJupiterTests,addition,1,0,void,,true,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\MyRandomParametersTest.java,dataset/projects/junit5/documentation/src/test/java/example/MyRandomParametersTest.java,MyRandomParametersTest.java,MyRandomParametersTest,injectsInteger,1,2,void,,true,false,true,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\junit5\documentation\src\test\java\example\session\HttpTests.java,dataset/projects/junit5/documentation/src/test/java/example/session/HttpTests.java,HttpTests.java,HttpServerParameterResolver,respondsWith204,7,1,void,,true,false,true,false
