file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\client\processor\CustomBatchPayloadProcessor.java,org.apache.pulsar.client.processor.CustomBatchPayloadProcessor,class,8,9,1,8,4,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25,1,1,1,2,0,0,1,5,0,5,3,0,0,0,20,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerTest.java,org.apache.bookkeeper.mledger.impl.ManagedLedgerTest$Anonymous39,anonymous,3,3,0,3,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,-1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker-common\src\test\java\org\apache\pulsar\broker\ServiceConfigurationUtilsTest.java,org.apache.pulsar.broker.ServiceConfigurationUtilsTest,class,2,2,0,2,8,1,0,7,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,38,0,0,0,0,0,16,13,7,0,7,0,0,0,0,29,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-common\src\test\java\org\apache\pulsar\common\util\ReflectionsTest.java,org.apache.pulsar.common.util.ReflectionsTest$ThrowExceptionClass,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,10,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-client-tools\src\main\java\org\apache\pulsar\admin\cli\CmdPersistentTopics.java,org.apache.pulsar.admin.cli.CmdPersistentTopics$GetPartitionedStatsInternal,innerclass,4,4,0,4,1,2,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,5,0,1,1,2,0,0,0,0,38,2,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-proxy\src\main\java\org\apache\pulsar\proxy\server\WebServer.java,org.apache.pulsar.proxy.server.WebServer,class,38,51,13,38,45,1,0,147,97,0.86111116,0.0,0.0,18,1,14,2,2,0,16,0,0,0,14,1,0,13,1,0,8,0,15,288,12,3,5,5,3,13,8,42,1,43,3,0,2,5,190,1,4
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-common\src\test\java\org\apache\pulsar\common\util\FileModifiedTimeUpdaterTest.java,org.apache.pulsar.common.util.FileModifiedTimeUpdaterTest,class,8,9,1,8,7,1,0,29,10,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,13,73,1,0,0,1,0,8,3,12,0,10,2,0,1,0,42,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-client\src\test\java\org\apache\pulsar\client\impl\auth\oauth2\AuthenticationFactoryOAuth2Test.java,org.apache.pulsar.client.impl.auth.oauth2.AuthenticationFactoryOAuth2Test,class,6,6,0,6,5,1,0,24,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,4,2,23,2,29,0,29,2,0,0,2,56,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-config-validation\src\main\java\org\apache\pulsar\config\validation\ValidatorImpls.java,org.apache.pulsar.config.validation.ValidatorImpls$StringValidator,innerclass,2,2,0,2,8,2,0,6,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,19,0,0,2,0,1,4,1,3,1,1,2,0,0,0,29,9,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\broker\admin\TopicsTest.java,org.apache.pulsar.broker.admin.TopicsTest$Seller,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,10,0
