Problem,Package,File,Priority,Line,Description,Rule set,Rule
3,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\InlineDelegateByteBuddyMockMaker.java,3,108,The class 'InlineDelegateByteBuddyMockMaker' has a total cyclomatic complexity of 98 (highest 14).,Design,CyclomaticComplexity
4,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\InlineDelegateByteBuddyMockMaker.java,3,109,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
5,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\InlineDelegateByteBuddyMockMaker.java,3,244,The constructor 'InlineDelegateByteBuddyMockMaker()' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
6,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\InlineDelegateByteBuddyMockMaker.java,3,446,"The method 'prettifyFailure(MockCreationSettings<T>, Exception)' has a cyclomatic complexity of 14.",Design,CyclomaticComplexity
7,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\InlineDelegateByteBuddyMockMaker.java,3,539,"The method 'resetMock(Object, MockHandler<?>, MockCreationSettings<?>)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
1,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\MockMethodAdvice.java,3,5,A value of 42 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\MockMethodAdvice.java,3,439,The method 'visitCode()' has a cyclomatic complexity of 19.,Design,CyclomaticComplexity
3,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\MockMethodAdvice.java,3,664,"The method 'toFrames(Object, List<TypeDescription>)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
1,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\ModuleHandler.java,3,22,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
2,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\ModuleHandler.java,3,196,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\SubclassBytecodeGenerator.java,3,54,"Possible God Class (WMC=55, ATFD=40, TCC=0.000%)",Design,GodClass
2,org.mockito.internal.creation.bytebuddy,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\bytebuddy\SubclassBytecodeGenerator.java,3,124,The method 'mockClass(MockFeatures<T>)' has a cyclomatic complexity of 27.,Design,CyclomaticComplexity
1,org.mockito.internal.creation.settings,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\creation\settings\CreationSettings.java,3,26,Too many fields,Design,TooManyFields
1,org.mockito.internal.exceptions,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\exceptions\Reporter.java,3,5,A value of 29 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.mockito.internal.exceptions,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\exceptions\Reporter.java,3,72,"Possible God Class (WMC=125, ATFD=78, TCC=0.153%)",Design,GodClass
3,org.mockito.internal.exceptions,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\exceptions\Reporter.java,3,72,The class 'Reporter' has a total cyclomatic complexity of 125 (highest 6).,Design,CyclomaticComplexity
4,org.mockito.internal.exceptions,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\exceptions\Reporter.java,3,72,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal.invocation,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\invocation\InvocationsFinder.java,3,16,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal.invocation,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\invocation\SerializableMethod.java,3,101,The method 'equals(Object)' has a cyclomatic complexity of 14.,Design,CyclomaticComplexity
1,org.mockito.internal.matchers,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\matchers\ArrayEquals.java,3,17,The method 'matches(Object)' has a cyclomatic complexity of 21.,Design,CyclomaticComplexity
1,org.mockito.internal.matchers.apachecommons,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\matchers\apachecommons\EqualsBuilder.java,3,78,The class 'EqualsBuilder' has a total cyclomatic complexity of 129 (highest 17).,Design,CyclomaticComplexity
