project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
resilience4j,io/github/resilience4j/bulkhead/event/BulkheadEvent,BulkheadEvent,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/event/BulkheadEventTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/internal/FixedThreadPoolBulkhead,FixedThreadPoolBulkhead,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/internal/FixedThreadPoolBulkheadTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
resilience4j,io/github/resilience4j/bulkhead/internal/SemaphoreBulkhead,SemaphoreBulkhead,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-bulkhead/src/test/java/io/github/resilience4j/bulkhead/internal/SemaphoreBulkheadTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
resilience4j,io/github/resilience4j/bulkhead/monitoring/endpoint/BulkheadEventDTOFactory,BulkheadEventDTOFactory,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-framework-common/src/test/java/io/github/resilience4j/bulkhead/monitoring/endpoint/BulkheadEventDTOFactoryTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/operator/CompletableBulkhead,CompletableBulkhead,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-rxjava2/src/test/java/io/github/resilience4j/bulkhead/operator/CompletableBulkheadTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/operator/FlowableBulkhead,FlowableBulkhead,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-rxjava2/src/test/java/io/github/resilience4j/bulkhead/operator/FlowableBulkheadTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/operator/MaybeBulkhead,MaybeBulkhead,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-rxjava2/src/test/java/io/github/resilience4j/bulkhead/operator/MaybeBulkheadTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/operator/ObserverBulkhead,ObserverBulkhead,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-rxjava2/src/test/java/io/github/resilience4j/bulkhead/operator/ObserverBulkheadTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/bulkhead/operator/SingleBulkhead,SingleBulkhead,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-rxjava2/src/test/java/io/github/resilience4j/bulkhead/operator/SingleBulkheadTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/cache/Cache,Cache,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-cache/src/test/java/io/github/resilience4j/cache/CacheTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/cache/CacheConcurrency,CacheConcurrency,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-cache/src/test/java/io/github/resilience4j/cache/CacheConcurrencyTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/cache/CacheEventPublisher,CacheEventPublisher,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-cache/src/test/java/io/github/resilience4j/cache/CacheEventPublisherTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/cache/CacheRegistryStore,CacheRegistryStore,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-cache/src/test/java/io/github/resilience4j/cache/CacheRegistryStoreTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/cache/VavrCache,VavrCache,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-vavr/src/test/java/io/github/resilience4j/cache/VavrCacheTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/cache/event/CacheEvent,CacheEvent,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-cache/src/test/java/io/github/resilience4j/cache/event/CacheEventTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/cache/internal/ComputeIfAbsent,ComputeIfAbsent,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-cache/src/test/java/io/github/resilience4j/cache/internal/ComputeIfAbsentTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/circuitbreaker/CallNotPermittedException,CallNotPermittedException,,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-circuitbreaker/src/test/java/io/github/resilience4j/circuitbreaker/CallNotPermittedExceptionTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resilience4j,io/github/resilience4j/circuitbreaker/CircuitBreaker,CircuitBreaker,../dataset/projects/resilience4j/resilience4j-circuitbreaker/src/main/java/io/github/resilience4j/circuitbreaker/CircuitBreaker.java,C:/Users/largu/Documents/Vietnam/dataset/projects/resilience4j/resilience4j-circuitbreaker/src/test/java/io/github/resilience4j/circuitbreaker/CircuitBreakerTest.java,1,1,1,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
