project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_ExcessiveParameterList,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
hibernate-orm,org/hibernate/Interceptor,Interceptor,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/Interceptor.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/LockMode,LockMode,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/LockMode.java,,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/LockOptions,LockOptions,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/LockOptions.java,,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/MultiIdentifierLoadAccess,MultiIdentifierLoadAccess,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/MultiIdentifierLoadAccess.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/NaturalIdLoadAccess,NaturalIdLoadAccess,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/NaturalIdLoadAccess.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/NaturalIdMultiLoadAccess,NaturalIdMultiLoadAccess,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/NaturalIdMultiLoadAccess.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/Session,Session,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/Session.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/SessionBuilder,SessionBuilder,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/SessionBuilder.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/SessionEventListener,SessionEventListener,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/SessionEventListener.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibernate-orm,org/hibernate/SessionFactory,SessionFactory,../dataset/projects/hibernate-orm/hibernate-core/src/main/java/org/hibernate/SessionFactory.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
