project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_ExcessiveParameterList,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
netty,io/netty/channel/uring/IoUringFile,IoUringFile,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/transport-native-io_uring/src/test/java/io/netty/channel/uring/IoUringFileTest.java,0,0,1,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
netty,io/netty/channel/uring/IoUringFileRegion,IoUringFileRegion,dataset/projects/netty/transport-classes-io_uring/src/main/java/io/netty/channel/uring/IoUringFileRegion.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/transport-native-io_uring/src/test/java/io/netty/channel/uring/IoUringFileRegionTest.java,1,1,1,6,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
netty,io/netty/channel/uring/IoUringIoHandler,IoUringIoHandler,dataset/projects/netty/transport-classes-io_uring/src/main/java/io/netty/channel/uring/IoUringIoHandler.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/transport-native-io_uring/src/test/java/io/netty/channel/uring/IoUringIoHandlerTest.java,1,6,1,6,1,2,0,1,0,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
netty,io/netty/channel/uring/IoUringIoHandlerConfig,IoUringIoHandlerConfig,dataset/projects/netty/transport-classes-io_uring/src/main/java/io/netty/channel/uring/IoUringIoHandlerConfig.java,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netty,io/netty/channel/uring/IoUringIoHandlerWakeupEventCount,IoUringIoHandlerWakeupEventCount,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/transport-native-io_uring/src/test/java/io/netty/channel/uring/IoUringIoHandlerWakeupEventCountTest.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netty,io/netty/channel/uring/IoUringIoOps,IoUringIoOps,dataset/projects/netty/transport-classes-io_uring/src/main/java/io/netty/channel/uring/IoUringIoOps.java,,1,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netty,io/netty/channel/uring/IoUringRegister,IoUringRegister,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/transport-native-io_uring/src/test/java/io/netty/channel/uring/IoUringRegisterTest.java,0,0,1,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
netty,io/netty/channel/uring/IoUringRemoteIp,IoUringRemoteIp,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/transport-native-io_uring/src/test/java/io/netty/channel/uring/IoUringRemoteIpTest.java,0,0,1,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
netty,io/netty/channel/uring/IoUringServerSocketChannelConfig,IoUringServerSocketChannelConfig,dataset/projects/netty/transport-classes-io_uring/src/main/java/io/netty/channel/uring/IoUringServerSocketChannelConfig.java,,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netty,io/netty/channel/uring/IoUringSocket,IoUringSocket,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/netty/transport-native-io_uring/src/test/java/io/netty/channel/uring/IoUringSocketTest.java,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
