project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_ExcessiveParameterList,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
kafka,org/apache/kafka/coordinator/group/ShareGroupAutoOffsetResetStrategy,ShareGroupAutoOffsetResetStrategy,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/ShareGroupAutoOffsetResetStrategyTest.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,org/apache/kafka/coordinator/group/StreamsGroupMixedGroupMetadataManager,StreamsGroupMixedGroupMetadataManager,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/StreamsGroupMixedGroupMetadataManagerTest.java,0,0,1,5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kafka,org/apache/kafka/coordinator/group/StreamsGroupStaticMemberGroupMetadataManager,StreamsGroupStaticMemberGroupMetadataManager,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/StreamsGroupStaticMemberGroupMetadataManagerTest.java,0,0,1,10,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
kafka,org/apache/kafka/coordinator/group/Utils,Utils,dataset/projects/kafka/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/Utils.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/UtilsTest.java,1,3,1,4,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kafka,org/apache/kafka/coordinator/group/api/streams/StreamsGroupTopologyDescription,StreamsGroupTopologyDescription,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/api/streams/StreamsGroupTopologyDescriptionTest.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,org/apache/kafka/coordinator/group/assignor/CommonAssignor,CommonAssignor,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/assignor/CommonAssignorTests.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,org/apache/kafka/coordinator/group/assignor/GroupSpecImpl,GroupSpecImpl,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/assignor/GroupSpecImplTest.java,0,0,1,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kafka,org/apache/kafka/coordinator/group/assignor/RangeAssignor,RangeAssignor,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/assignor/RangeAssignorTest.java,0,0,1,6,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kafka,org/apache/kafka/coordinator/group/assignor/RangeSet,RangeSet,dataset/projects/kafka/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/assignor/RangeSet.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/assignor/RangeSetTest.java,1,1,1,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kafka,org/apache/kafka/coordinator/group/assignor/SimpleAssignor,SimpleAssignor,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/kafka/group-coordinator/src/test/java/org/apache/kafka/coordinator/group/assignor/SimpleAssignorTest.java,0,0,1,6,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
