project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
spring-boot,autoconfigure/data/cassandra/DataCassandraTestWithIncludeFilterIntegration,DataCassandraTestWithIncludeFilterIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-data-cassandra-test/src/dockerTest/java/org/springframework/boot/test/autoconfigure/data/cassandra/DataCassandraTestWithIncludeFilterIntegrationTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring-boot,batch/mongodb/autoconfigure/BatchDataMongoAutoConfigurationIntegration,BatchDataMongoAutoConfigurationIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-batch-data-mongodb/src/dockerTest/java/org/springframework/boot/batch/mongodb/autoconfigure/BatchDataMongoAutoConfigurationIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/activemq/testcontainers/ActiveMQClassicContainerConnectionDetailsFactoryIntegration,ActiveMQClassicContainerConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-activemq/src/dockerTest/java/org/springframework/boot/activemq/testcontainers/ActiveMQClassicContainerConnectionDetailsFactoryIntegrationTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring-boot,boot/activemq/testcontainers/ActiveMQContainerConnectionDetailsFactoryIntegration,ActiveMQContainerConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-activemq/src/dockerTest/java/org/springframework/boot/activemq/testcontainers/ActiveMQContainerConnectionDetailsFactoryIntegrationTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring-boot,boot/amqp/testcontainers/DeprecatedRabbitContainerConnectionDetailsFactoryIntegration,DeprecatedRabbitContainerConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-amqp/src/dockerTest/java/org/springframework/boot/amqp/testcontainers/DeprecatedRabbitContainerConnectionDetailsFactoryIntegrationTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring-boot,boot/amqp/testcontainers/RabbitContainerConnectionDetailsFactoryIntegration,RabbitContainerConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-amqp/src/dockerTest/java/org/springframework/boot/amqp/testcontainers/RabbitContainerConnectionDetailsFactoryIntegrationTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring-boot,boot/amqp/testcontainers/RabbitStreamContainerConnectionDetailsFactoryIntegration,RabbitStreamContainerConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-amqp/src/dockerTest/java/org/springframework/boot/amqp/testcontainers/RabbitStreamContainerConnectionDetailsFactoryIntegrationTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring-boot,boot/amqp/testcontainers/RabbitStreamWithSslContainerConnectionDetailsFactoryIntegration,RabbitStreamWithSslContainerConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-amqp/src/dockerTest/java/org/springframework/boot/amqp/testcontainers/RabbitStreamWithSslContainerConnectionDetailsFactoryIntegrationTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring-boot,boot/amqp/testcontainers/SeparateContainersRabbitAndRabbitStreamContainerConnectionDetailsFactoryIntegration,SeparateContainersRabbitAndRabbitStreamContainerConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-amqp/src/dockerTest/java/org/springframework/boot/amqp/testcontainers/SeparateContainersRabbitAndRabbitStreamContainerConnectionDetailsFactoryIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/amqp/testcontainers/SingleContainerRabbitAndRabbitStreamContainerConnectionDetailsFactoryIntegration,SingleContainerRabbitAndRabbitStreamContainerConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-amqp/src/dockerTest/java/org/springframework/boot/amqp/testcontainers/SingleContainerRabbitAndRabbitStreamContainerConnectionDetailsFactoryIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
